
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-15 11:03:35 ...................................................................................... ~ 1.42ms
  2026-08-15 11:03:36 /api/v1/notifications/unread-count ................................................... ~ 2.02ms
  2026-08-15 11:03:36 /api/v1/auth/logout ................................................................ ~ 507.14ms
  2026-08-15 11:03:36 /api/v1/notifications/unread-count ................................................. ~ 508.82ms
  2026-08-15 11:03:36 /api/v1/notifications/unread-count ................................................. ~ 510.28ms
  2026-08-15 11:03:39 /api/v1/auth/login ....................................................................... ~ 1s
  2026-08-15 11:03:41 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:42 /api/v1/notifications/unread-count ................................................. ~ 506.77ms
  2026-08-15 11:03:42 /api/v1/procurement/purchase-requests .................................................... ~ 1s
  2026-08-15 11:03:42 /api/v1/procurement/approved-purchase-requests ........................................... ~ 1s
  2026-08-15 11:03:43 /api/v1/procurement/purchase-orders ................................................ ~ 515.19ms
  2026-08-15 11:03:43 /api/v1/procurement/suppliers-manage ............................................... ~ 518.99ms
  2026-08-15 11:03:43 /api/v1/procurement/analytics ............................................................ ~ 1s
  2026-08-15 11:03:44 /api/v1/procurement/purchase-requests .................................................... ~ 1s
  2026-08-15 11:03:44 /api/v1/procurement/approved-purchase-requests ..................................... ~ 509.93ms
  2026-08-15 11:03:44 /api/v1/procurement/purchase-orders ................................................ ~ 517.10ms
  2026-08-15 11:03:45 /api/v1/procurement/suppliers-manage ..................................................... ~ 1s
  2026-08-15 11:03:45 /api/v1/procurement/analytics ...................................................... ~ 505.73ms
  2026-08-15 11:03:46 /api/v1/notifications/stream ............................................................. ~ 1s
  2026-08-15 11:03:46 /api/v1/notifications/unread-count ....................................................... ~ 1s
  2026-08-15 11:03:47 /api/v1/procurement/purchase-requests .................................................... ~ 1s
  2026-08-15 11:03:47 /api/v1/procurement/approved-purchase-requests ........................................... ~ 1s
  2026-08-15 11:03:48 /api/v1/procurement/purchase-orders ...................................................... ~ 1s
